Title,Topic
Modelling Cellular Perturbations with the Sparse Additive Mechanism Shift Variational Autoencoder,ML not Sys
Cross-Episodic Curriculum for Transformer Agents,ML not Sys
PaintSeg: Painting Pixels for Training-free Segmentation,ML not Sys
Bootstrapping Vision-Language Learning with Decoupled Language Pre-training,ML not Sys
Path following algorithms for $\ell_2$-regularized $M$-estimation with approximation guarantee,ML not Sys
PDF: Point Diffusion Implicit Function for Large-scale Scene Neural Representation,ML not Sys
Natural Actor-Critic for Robust Reinforcement Learning with Function Approximation,ML not Sys
Adaptive Selective Sampling for Online Prediction with Experts,ML not Sys
Attentive Transfer Entropy to Exploit Transient Emergence of Coupling Effect,ML not Sys
"Provable Adversarial Robustness for Group Equivariant Tasks: Graphs, Point Clouds, Molecules, and More",ML not Sys
Self-Supervised Motion Magnification by Backpropagating Through Optical Flow,ML not Sys
TexQ: Zero-shot Network Quantization with Texture Feature Distribution Calibration,ML not Sys
Ambient Diffusion: Learning Clean Distributions from Corrupted Data,ML not Sys
Scalable Membership Inference Attacks via Quantile Regression,ML not Sys
Label Correction of Crowdsourced Noisy Annotations with an Instance-Dependent Noise Transition Model,ML not Sys
Diffused Task-Agnostic Milestone Planner,ML not Sys
Task-aware Distributed Source Coding under Dynamic Bandwidth,ML not Sys
Causal Effect Identification in Uncertain Causal Networks,ML not Sys
FAST: a Fused and Accurate Shrinkage Tree for Heterogeneous Treatment Effects Estimation,ML not Sys
Characterizing Graph Datasets for Node Classification: Homophily-Heterophily Dichotomy and Beyond,ML not Sys
Equivariant Flow Matching with Hybrid Probability Transport for 3D Molecule Generation,ML not Sys
Hyperbolic VAE via Latent Gaussian Distributions,ML not Sys
A Simple Solution for Offline Imitation from Observations and Examples with Possibly Incomplete Trajectories,ML not Sys
Defending against Data-Free Model Extraction by  Distributionally Robust Defensive Training,ML not Sys
Belief Projection-Based Reinforcement Learning for Environments with Delayed Feedback,ML not Sys
Batchnorm Allows Unsupervised Radial Attacks,ML not Sys
Detecting Any Human-Object Interaction Relationship: Universal HOI Detector with Spatial Prompt Learning on Foundation Models,ML not Sys
Smoothing the Landscape Boosts the Signal for SGD: Optimal Sample Complexity for Learning Single Index Models,ML not Sys
A Scale-Invariant Sorting Criterion to Find a Causal Order in Additive Noise Models,ML not Sys
PROTES: Probabilistic Optimization with Tensor Sampling,ML not Sys
Perturbation Towards Easy Samples Improves Targeted Adversarial Transferability,ML not Sys
AVIS: Autonomous Visual Information Seeking with Large Language Model Agent,ML not Sys
Conformal Prediction Sets for Ordinal Classification,ML not Sys
Minimax-Optimal Location Estimation,ML not Sys
Tight Bounds for Volumetric Spanners and Applications,ML not Sys
Learning better with Dale’s Law: A Spectral Perspective,ML not Sys
Dense-Exponential Random Features: Sharp Positive Estimators of the Gaussian Kernel,ML not Sys
Projection-Free Online Convex Optimization via Efficient Newton Iterations,ML not Sys
Read and Reap the Rewards: Learning to Play Atari with the Help of Instruction Manuals,ML not Sys
Sharpness Minimization Algorithms Do Not Only Minimize Sharpness To Achieve Better Generalization,ML not Sys
Feature-Learning Networks Are Consistent Across Widths At Realistic Scales,ML not Sys
Taylor TD-learning,ML not Sys
